Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Wesley Machida-Gleadall,DB,187.96,182,1,1,Environment & Business,"Stoney Creek, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fWelsey._MG.jpg&width=300&type=webp
Israel Mompatibi,DB,177.8,171,1,1,Arts,"Ottawa, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fI._Mompatibi.jpg&width=300&type=webp
Ryan Nesbitt,DB,175.26,180,1,1,Civil Engineering,"Holland Landing, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fI._Nesbitt.jpg&width=300&type=webp
Jethro Oleko,LB,180.34,215,5,5,Arts,"Windsor, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Oleko.jpg&width=300&type=webp
Aidan Palmer,DB,177.8,189,3,5,Recreation & Leisure,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Palmer.jpg&width=300&type=webp
Eugene Park,DB,170.18,173,1,1,Accounting & Financial Management,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fE._Park.jpg&width=300&type=webp
Mason Parmley,DL,182.88,247,3,2,Kinesiology,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fParmley_Mason.jpg&width=300&type=webp
Mason Richard,LB,182.88,226,1,2,Psychology,"Sarnia, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fRichard_Mason.jpg&width=300&type=webp
Jorge Rodriguez,DB,177.8,167,1,1,Recreation & Sport Business,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Rodriquez.jpg&width=300&type=webp
Ethan Schwarz,QB,182.88,179,1,1,Arts & Business,"Newmarket, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fE._Schwartz.jpg&width=300&type=webp
Nicholas Seybold,LB,182.88,189,1,1,Arts,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Seyebold.jpg&width=300&type=webp
Sam Shoniker,DB,180.34,198,1,1,Recreation & Sport Business,"Guelph, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fS._Shoniker.jpg&width=300&type=webp
Brandon Swain,K/P,190.5,190,2,2,Recreation & Sport Business,"Sydenham, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fB._Swain.jpg&width=300&type=webp
Michael Tannahill,K/P,177.8,184,2,3,Arts & Business,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fTannahill_Michael.jpg&width=300&type=webp
Roman Tinna,LB,182.88,198,1,1,Environment & Business,"Oakville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fR._Tinna.jpg&width=300&type=webp
Raj Virk,REC,180.34,186,1,3,Recreation & Sport Business,"Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fVirk_Raj.jpg&width=300&type=webp
Jared Watts,LB,185.42,191,1,1,Recreation & Sport Business,"Kitchener, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Watts.jpg&width=300&type=webp
