Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Nick Cahyono,DB,193.04,187,2,2,Arts & Business,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Cahyono.jpg&width=300&type=webp
Isaac Porter,DB,177.8,170,2,3,Kinesiology,"Fredericton, NB",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fI._Porter.jpg&width=300&type=webp
Gursiman Dhaliwal,LB,185.42,207,2,2,Kinesiology,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fG._Dhaliwal.jpg&width=300&type=webp
Roy Van Der Veen,RB,180.34,200,1,2,Arts & Business,"Grand Valley, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fVanDerVeen_Roy.jpg&width=300&type=webp
Zach Parmley,H-Back,180.34,206,1,5,Kinesiology,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fParmley_Zach.jpg&width=300&type=webp
Isaiah Butts,DB,177.8,183,3,5,Environmental Planning,"Ottawa, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fButts.jpg&width=300&type=webp
Terry Ojeh,DB,190.5,201,1,1,Computer Science,"Regina, SK",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fT._Ojeh.jpg&width=300&type=webp
Quinten Springer,RB,180.34,195,2,2,Recreation & Leisure,"Cambridge, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fSpringer_Quinten.jpg&width=300&type=webp
Josh Pileggi,DB,177.8,184,1,4,Kinesiology,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Pileggi.jpg&width=300&type=webp
James Hinsperger,LB,190.5,218,3,4,Civil Engineering,"Waterloo, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Hinsperger_.jpg&width=300&type=webp
Elijah Pappin,H-Back,187.96,243,2,2,Economics,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fE._Pappin.jpg&width=300&type=webp
Arden Martinez,LB,190.5,221,2,2,Chemical Engineering,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Martinez.jpg&width=300&type=webp
Michael Omoseni,LB,190.5,249,2,2,Environment & Business,"Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Omoseni.jpg&width=300&type=webp
